node_id,tipo,etiqueta,handle,comentarios,videos_unicos,canales_unicos,sentimiento_medio,visualizaciones,autores_unicos,categoria,id_original,componente,grado
autor::UCNIeXbV_mEwpa412h1aqUWw,autor,@juandeleon9060,/@juandeleon9060,3,1.0,1.0,0.0,,,,UCNIeXbV_mEwpa412h1aqUWw,1,1
autor::UCNiMNUJvaRJb0_QLClqwVnA,autor,@Santiago.Nolasco,/@Santiago.Nolasco,1,1.0,1.0,1.0,,,,UCNiMNUJvaRJb0_QLClqwVnA,7,1
autor::UCNkcuy42zEwddwEcOd_HpnA,autor,@vanigomez492,/@vanigomez492,1,1.0,1.0,0.0,,,,UCNkcuy42zEwddwEcOd_HpnA,1,1
autor::UCNpt5CQlTzNjlAKY6CJtClQ,autor,@eustaquiogomez9975,/@eustaquiogomez9975,1,1.0,1.0,0.0,,,,UCNpt5CQlTzNjlAKY6CJtClQ,1,1
autor::UCO0zwwLWGyDgQmWPJ5Qrr1w,autor,@elsalvador3605,/@elsalvador3605,1,1.0,1.0,0.0,,,,UCO0zwwLWGyDgQmWPJ5Qrr1w,1,1
autor::UCOARn3hnfkB7-_Rwa8Hoqcw,autor,@nicelol5241,/@nicelol5241,1,1.0,1.0,0.0,,,,UCOARn3hnfkB7-_Rwa8Hoqcw,1,1
autor::UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,/@welfrealdana5559,2,1.0,1.0,0.0,,,,UCOLGv5Pf6BF2wFcwUzgcvHg,1,1
autor::UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,@luisroldan7374,/@luisroldan7374,1,1.0,1.0,0.0,,,,UCOLHH4ZpMxPYF-Q6e6wvn5A,2,1
autor::UCOS8ViEkccrTZx2w2ccxotA,autor,@OscarHernandez-q8y,/@OscarHernandez-q8y,1,1.0,1.0,0.0,,,,UCOS8ViEkccrTZx2w2ccxotA,1,1
autor::UCOY3XpD9qMCRSA8AA8c4CAw,autor,@franciscorodas9686,/@franciscorodas9686,1,1.0,1.0,1.0,,,,UCOY3XpD9qMCRSA8AA8c4CAw,1,1
autor::UCOcUI5XkTYNMSFhZNMIPpGg,autor,@hendersonlopez3864,/@hendersonlopez3864,1,1.0,1.0,0.0,,,,UCOcUI5XkTYNMSFhZNMIPpGg,1,1
autor::UCOh6DaZC_x9HASnlRylEMfw,autor,@AndresMedina-v1s,/@AndresMedina-v1s,1,1.0,1.0,-1.0,,,,UCOh6DaZC_x9HASnlRylEMfw,1,1
autor::UCPLW0HE3siElqCgXfgWxMqg,autor,@elizabethmonterroso7719,/@elizabethmonterroso7719,1,1.0,1.0,0.0,,,,UCPLW0HE3siElqCgXfgWxMqg,8,1
autor::UCPNXmbOBVeC4HS-xemvcPtQ,autor,@BelkisRodriguezRamirez,/@BelkisRodriguezRamirez,1,1.0,1.0,-1.0,,,,UCPNXmbOBVeC4HS-xemvcPtQ,2,1
autor::UCPZueDLrCS4BmTBRMA4q0fA,autor,@kevinochoa3695,/@kevinochoa3695,1,1.0,1.0,0.0,,,,UCPZueDLrCS4BmTBRMA4q0fA,1,1
autor::UCQIdKuZ-OzuFqy0KjGrgesg,autor,@lyacausa,/@lyacausa,1,1.0,1.0,0.0,,,,UCQIdKuZ-OzuFqy0KjGrgesg,5,1
autor::UCQM2tCKRRytVDRxNUfCDqQQ,autor,@elioelias7267,/@elioelias7267,1,1.0,1.0,0.0,,,,UCQM2tCKRRytVDRxNUfCDqQQ,9,1
