author_channel_id,author_name,author_handle,comentarios,videos_unicos,canales_unicos,me_gusta_recibidos,respuestas_recibidas,sentimiento_medio
UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,/@anibalg47,1,1,1,7,0,0.0
UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,/@ArielRodas-g5y,1,1,1,2,0,0.0
UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,/@dorisl.garciaroche7763,1,1,1,2,1,0.0
UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,/@denilsonlopez4083,1,1,1,0,0,0.0
UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,/@arielsarc09,1,1,1,3,0,0.0
UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,/@allanmunoz7410,1,1,1,0,0,0.0
UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,/@diegoalejandrolopezmendez205,1,1,1,2,0,0.0
UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,/@eddymunoz9789,1,1,1,1,1,1.0
UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,/@JuanDavila-qd7qj,1,1,1,10,0,-1.0
UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,/@vitalianochavez8382,1,1,1,1,0,0.0
UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,/@karensussetteleonvargas9794,1,1,1,0,0,0.0
UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,/@ronaldgarcia8522,1,1,1,1,0,0.0
UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,/@pasionpornada,1,1,1,2,1,0.0
UCGj2v6Gl5bN8NSrzJMXS-CA,@juliogutierrez492,/@juliogutierrez492,1,1,1,0,0,0.0
UCGm3gRBEHGRJYmtCryZLtDw,@JoséLopez-g6k,/@Jos%C3%A9Lopez-g6k,1,1,1,0,0,0.0
UCGqKxQS-z3NZzZF-2w338AA,@samuelaguilar529,/@samuelaguilar529,1,1,1,211,3,1.0
UCGzXwyCzMzGmjmCbH3Hg01Q,@FidelZacarias-ph7dy,/@FidelZacarias-ph7dy,1,1,1,2,0,0.0
UCHGd14aYuZZShLD73dkk6mg,@noemiherrera3152,/@noemiherrera3152,1,1,1,0,0,0.0
UCHMQ_lDhibZ-XZ_3fo6oxwg,@crislexrubi4387,/@crislexrubi4387,1,1,1,16,0,1.0
UCHbwIx9pmQuf7i-4_xO2EpA,@caminoseternos752,/@caminoseternos752,1,1,1,0,0,1.0
UCHu8x4MVkayU6VgwVKd--MQ,@Hernandez-i1o,/@Hernandez-i1o,1,1,1,1,0,0.0
UCIUhbSCy3-SGRe5UtqM4fzQ,@jeanmorales1677,/@jeanmorales1677,1,1,1,1,0,-1.0
UCIXLDYqR_syskKRJy_x9W9Q,@carlitosramirez4739,/@carlitosramirez4739,1,1,1,0,0,0.0
UCIgoiXdIKJyUGmUoH2Lxdzg,@susievidal4134,/@susievidal4134,1,1,1,3,0,0.0
UCIp19h9igblA2YKfSLPDAug,@JoseReyes-rn6sh,/@JoseReyes-rn6sh,1,1,1,14,1,0.0
UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,/@ULJoshmg2011,1,1,1,0,0,0.6
UCJxJC56BSAX-ArD0NAb9qnQ,@alfonsowilian9157,/@alfonsowilian9157,1,1,1,0,0,-1.0
UCKDR0f2fu2UzWL8mBv5-BHw,@mireyamorales6595,/@mireyamorales6595,1,1,1,0,0,-1.0
UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,/@rotorairgroup8409,1,1,1,0,0,0.0
UCL1MT278vSaQ83ZDkVWn1gw,@elmorodriguez6978,/@elmorodriguez6978,1,1,1,20,0,-1.0
UCLXYp1Cvc5DLtq5UQL5D9vw,@jorgecifuentes-m5g,/@jorgecifuentes-m5g,1,1,1,3,1,0.0
UCLh1Kde4_vI1sTZBkTNP7RQ,@JoelReynoso-d4r,/@JoelReynoso-d4r,1,1,1,0,0,0.0
UCN2N_wYOw6fMwCeSzdXLPIw,@danielantoniogonzalezflore4901,/@danielantoniogonzalezflore4901,1,1,1,0,0,1.0
UCN6qbfPSzFtjhqUDZ3Cv3CQ,@carlosmedranovelasquez6380,/@carlosmedranovelasquez6380,1,1,1,2,0,0.0
UCNiMNUJvaRJb0_QLClqwVnA,@Santiago.Nolasco,/@Santiago.Nolasco,1,1,1,2,0,1.0
UCNkcuy42zEwddwEcOd_HpnA,@vanigomez492,/@vanigomez492,1,1,1,3,0,0.0
UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,/@eustaquiogomez9975,1,1,1,0,0,0.0
UCO0zwwLWGyDgQmWPJ5Qrr1w,@elsalvador3605,/@elsalvador3605,1,1,1,3,0,0.0
UCOARn3hnfkB7-_Rwa8Hoqcw,@nicelol5241,/@nicelol5241,1,1,1,0,0,0.0
UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,/@luisroldan7374,1,1,1,2,1,0.0
UCOS8ViEkccrTZx2w2ccxotA,@OscarHernandez-q8y,/@OscarHernandez-q8y,1,1,1,4,0,0.0
UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,/@franciscorodas9686,1,1,1,1,0,1.0
UCOcUI5XkTYNMSFhZNMIPpGg,@hendersonlopez3864,/@hendersonlopez3864,1,1,1,3,0,0.0
UCOh6DaZC_x9HASnlRylEMfw,@AndresMedina-v1s,/@AndresMedina-v1s,1,1,1,0,0,-1.0
UCPLW0HE3siElqCgXfgWxMqg,@elizabethmonterroso7719,/@elizabethmonterroso7719,1,1,1,0,0,0.0
UCPNXmbOBVeC4HS-xemvcPtQ,@BelkisRodriguezRamirez,/@BelkisRodriguezRamirez,1,1,1,2,3,-1.0
UCPZueDLrCS4BmTBRMA4q0fA,@kevinochoa3695,/@kevinochoa3695,1,1,1,1,1,0.0
UCQIdKuZ-OzuFqy0KjGrgesg,@lyacausa,/@lyacausa,1,1,1,1,0,0.0
UCQM2tCKRRytVDRxNUfCDqQQ,@elioelias7267,/@elioelias7267,1,1,1,0,0,0.0
UCQMMuADgqWUOcJpLwHOzC-g,@Ripped-Yoda,/@Ripped-Yoda,1,1,1,0,0,-1.0
UCQgYjVngJRfPHDLGB5X6ZjA,@oscarnavas9996,/@oscarnavas9996,1,1,1,0,0,-1.0
UCQqetiwzzmRNTM5OWuXarGQ,@isaiaslopezvelasquez1539,/@isaiaslopezvelasquez1539,1,1,1,1,0,1.0
UCQqlPPUGqAfWjd-FSh_qn7Q,@estuardoargueta137,/@estuardoargueta137,1,1,1,0,0,0.0
UCQtSFINs1h6GHkpg9o5kMvg,@MacarioMartinezruiz,/@MacarioMartinezruiz,1,1,1,12,0,1.0
UCQyOePccUP-fIJYzchAgZYw,@aguilar4254,/@aguilar4254,1,1,1,0,0,0.0
UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,/@iamjimalesssa,1,1,1,4,0,0.0
UCRETAiYdh2dL5ZxB0_N1zDA,@Joseroland21,/@Joseroland21,1,1,1,0,0,1.0
UCRcSR3Lvn9DZAmJpVPANfZQ,@WalksandSuch,/@WalksandSuch,1,1,1,68,0,1.0
UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,/@danyraymundo2942,1,1,1,3,0,0.0
UCRfkkatKrNtAARnXMMYBGlA,@BernerSoza-mg3vx,/@BernerSoza-mg3vx,1,1,1,0,0,-1.0
UCRlCV9zSn7avAWh-9_XFWqQ,@ronyarana8849,/@ronyarana8849,1,1,1,1,0,0.0
UCRvPToDkkumha7WJAfCDk1A,@ligiaguerra3057,/@ligiaguerra3057,1,1,1,0,0,0.0
